Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml)
Stn. I (Central West Bay),December,2017,7.8,0.022,0.046,0.263,2,6.5,196,"33,098"
Stn V (Northern West Bay),December,2017,8,0.022,0.015,0.24,2,6.7,174,"5,090"
Stn XV (San Pedro),December,2017,7.8,0.04,0.051,0.143,2,7.5,264,"1,316"
Stn.XVI (Sta Rosa),December,2017,8.4,0.018,0.009,0.185,2,7,240,"8,495"
Stn. I (Central West Bay),January,2018,7.7,0.221,0.661,0.135,0.5,7.8,8,"2,630"
Stn V (Northern West Bay),January,2018,8.1,0.041,0.131,0.287,1.5,7.1,29,"1,841"
Stn XV (San Pedro),January,2018,8.3,0.018,0.417,0.211,1.1,8.1,14,"1,118"
Stn.XVI (Sta Rosa),January,2018,8.3,0.012,0.376,0.155,1.1,8.2,22,"3,827"
Stn. I (Central West Bay),Febuary,2018,8.2,0.019,0.466,0.213,1,8.3,5,320
Stn V (Northern West Bay),Febuary,2018,8.7,0.043,0.188,0.21,2,7.1,19,336
Stn XV (San Pedro),Febuary,2018,8.7,0.007,0.242,0.21,2,8.2,14,306
Stn.XVI (Sta Rosa),Febuary,2018,8.7,0.001,0.356,0.178,1.1,8,22,833
Stn. I (Central West Bay),March,2018,8.3,0.015,0.268,0.187,1,8.6,5,930
Stn V (Northern West Bay),March,2018,8.8,0.014,0.176,0.215,2,8.7,17,"2,071"
Stn XV (San Pedro),March,2018,8.7,0.007,0.138,0.193,2,8.8,7,"1,183"
Stn.XVI (Sta Rosa),March,2018,8.7,0.003,0.133,0.162,1.1,8.1,14,616
Stn. I (Central West Bay),April,2018,7.9,0.022,0.138,0.145,2,7.8,2.5,"8,767"
Stn V (Northern West Bay),April,2018,8.1,0.02,0.08,0.186,5,8.4,17.3,"4,639"
Stn XV (San Pedro),April,2018,8.6,0.025,0.05,0.118,2,8.2,4.4,"1,953"
Stn.XVI (Sta Rosa),April,2018,8.3,0.011,0.05,0.113,2,8.2,4.4,"6,881"
Stn. I (Central West Bay),May,2018,8.5,0.031,0.05,0.27,2,8.5,2.5,"4,074"
Stn V (Northern West Bay),May,2018,8.7,0.029,0.05,0.13,4,8.2,7.7,"13,756"
Stn XV (San Pedro),May,2018,8.7,0.041,0.05,0.11,2,8.2,5.6,"4,264"
Stn.XVI (Sta Rosa),May,2018,8.1,0.041,0.011,0.125,2,8.3,4.4,"73,017"
Stn. I (Central West Bay),June,2018,8.6,0.042,0.05,0.27,7,7.8,4.5,"3,292"
Stn V (Northern West Bay),June,2018,8.8,0.028,0.05,0.13,3,8.42,25.8,"52,914"
Stn XV (San Pedro),June,2018,9.7,0.04,0.05,0.143,3,8.02,5.6,"3,532"
Stn.XVI (Sta Rosa),June,2018,9.1,0.008,0.05,0.096,2,8.04,5.6,"15,137"
Stn. I (Central West Bay),July,2018,9.1,0.054,0.05,0.111,2,8.8,7.1,"24,672"
Stn V (Northern West Bay),July,2018,8.7,0.001,0.1,0.173,4,6.6,19.3,"2,440"
